Barein;431755;hk;lönd;Bareins;EFET2
Kogga;0;kvk;ism;Koggurnar;NFFTgr
Kogga;0;kvk;ism;Koggur;ÞFFT
Kogga;0;kvk;ism;Koggurnar;ÞFFTgr
Kogga;0;kvk;ism;Koggum;ÞGFFT
Kogga;0;kvk;ism;Koggunum;ÞGFFTgr
Kogga;0;kvk;ism;Kogga;EFFT
Kogga;0;kvk;ism;Kogganna;EFFTgr

Katja;0;kvk;ism;Katja;NFET
Katja;0;kvk;ism;Katjan;NFETgr
Katja;0;kvk;ism;Kötju;ÞFET
Katja;0;kvk;ism;Kötjuna;ÞFETgr
Katja;0;kvk;ism;Kötju;ÞGFET
Katja;0;kvk;ism;Kötjunni;ÞGFETgr
Katja;0;kvk;ism;Kötju;EFET
Katja;0;kvk;ism;Kötjunnar;EFETgr
Katja;0;kvk;ism;Kötjur;NFFT
Katja;0;kvk;ism;Kötjurnar;NFFTgr
Katja;0;kvk;ism;Kötjur;ÞFFT
Katja;0;kvk;ism;Kötjurnar;ÞFFTgr
Katja;0;kvk;ism;Kötjum;ÞGFFT
Katja;0;kvk;ism;Kötjunum;ÞGFFTgr
Katja;0;kvk;ism;Katja;EFFT
Katja;0;kvk;ism;Katjanna;EFFTgr

Lolla;0;kvk;ism;Lolla;NFET
Lolla;0;kvk;ism;Lollan;NFETgr
Lolla;0;kvk;ism;Lollu;ÞFET
Lolla;0;kvk;ism;Lolluna;ÞFETgr
Lolla;0;kvk;ism;Lollu;ÞGFET
Lolla;0;kvk;ism;Lollunni;ÞGFETgr
Lolla;0;kvk;ism;Lollu;EFET
Lolla;0;kvk;ism;Lollunnar;EFETgr
Lolla;0;kvk;ism;Lollur;NFFT
Lolla;0;kvk;ism;Lollurnar;NFFTgr
Lolla;0;kvk;ism;Lollur;ÞFFT
Lolla;0;kvk;ism;Lollurnar;ÞFFTgr
Lolla;0;kvk;ism;Lollum;ÞGFFT
Lolla;0;kvk;ism;Lollunum;ÞGFFTgr
Lolla;0;kvk;ism;Lolla;EFFT
Lolla;0;kvk;ism;Lollanna;EFFTgr

Mæja;0;kvk;ism;Mæja;NFET
Mæja;0;kvk;ism;Mæjan;NFETgr
Mæja;0;kvk;ism;Mæju;ÞFET
Mæja;0;kvk;ism;Mæjuna;ÞFETgr
Mæja;0;kvk;ism;Mæju;ÞGFET
Mæja;0;kvk;ism;Mæjunni;ÞGFETgr
Mæja;0;kvk;ism;Mæju;EFET
Mæja;0;kvk;ism;Mæjunnar;EFETgr
Mæja;0;kvk;ism;Mæjur;NFFT
Mæja;0;kvk;ism;Mæjurnar;NFFTgr
Mæja;0;kvk;ism;Mæjur;ÞFFT
Mæja;0;kvk;ism;Mæjurnar;ÞFFTgr
Mæja;0;kvk;ism;Mæjum;ÞGFFT
Mæja;0;kvk;ism;Mæjunum;ÞGFFTgr
Mæja;0;kvk;ism;Mæja;EFFT
Mæja;0;kvk;ism;Mæjanna;EFFTgr

Mæsa;0;kvk;ism;Mæsa;NFET
Mæsa;0;kvk;ism;Mæsan;NFETgr
Mæsa;0;kvk;ism;Mæsu;ÞFET
Mæsa;0;kvk;ism;Mæsuna;ÞFETgr
Mæsa;0;kvk;ism;Mæsu;ÞGFET
Mæsa;0;kvk;ism;Mæsunni;ÞGFETgr
Mæsa;0;kvk;ism;Mæsu;EFET
Mæsa;0;kvk;ism;Mæsunnar;EFETgr
Mæsa;0;kvk;ism;Mæsur;NFFT
Mæsa;0;kvk;ism;Mæsurnar;NFFTgr
Mæsa;0;kvk;ism;Mæsur;ÞFFT
Mæsa;0;kvk;ism;Mæsurnar;ÞFFTgr
Mæsa;0;kvk;ism;Mæsum;ÞGFFT
Mæsa;0;kvk;ism;Mæsunum;ÞGFFTgr
Mæsa;0;kvk;ism;Mæsa;EFFT
Mæsa;0;kvk;ism;Mæsanna;EFFTgr

Manúela;0;kvk;ism;Manúela;NFET
Manúela;0;kvk;ism;Manúelan;NFETgr
Manúela;0;kvk;ism;Manúelu;ÞFET
Manúela;0;kvk;ism;Manúeluna;ÞFETgr
Manúela;0;kvk;ism;Manúelu;ÞGFET
Manúela;0;kvk;ism;Manúelunni;ÞGFETgr
Manúela;0;kvk;ism;Manúelu;EFET
Manúela;0;kvk;ism;Manúelunnar;EFETgr
Manúela;0;kvk;ism;Manúelur;NFFT
Manúela;0;kvk;ism;Manúelurnar;NFFTgr
Manúela;0;kvk;ism;Manúelur;ÞFFT
Manúela;0;kvk;ism;Manúelurnar;ÞFFTgr
Manúela;0;kvk;ism;Manúelum;ÞGFFT
Manúela;0;kvk;ism;Manúelunum;ÞGFFTgr
Manúela;0;kvk;ism;Manúela;EFFT
Manúela;0;kvk;ism;Manúelanna;EFFTgr

Maríella;0;kvk;ism;Maríella;NFET
Maríella;0;kvk;ism;Maríellan;NFETgr
Maríella;0;kvk;ism;Maríellu;ÞFET
Maríella;0;kvk;ism;Maríelluna;ÞFETgr
Maríella;0;kvk;ism;Maríellu;ÞGFET
Maríella;0;kvk;ism;Maríellunni;ÞGFETgr
Maríella;0;kvk;ism;Maríellu;EFET
Maríella;0;kvk;ism;Maríellunnar;EFETgr
Maríella;0;kvk;ism;Maríellur;NFFT
Maríella;0;kvk;ism;Maríellurnar;NFFTgr
Maríella;0;kvk;ism;Maríellur;ÞFFT
Maríella;0;kvk;ism;Maríellurnar;ÞFFTgr
Maríella;0;kvk;ism;Maríellum;ÞGFFT
Maríella;0;kvk;ism;Maríellunum;ÞGFFTgr
Maríella;0;kvk;ism;Maríella;EFFT
Maríella;0;kvk;ism;Maríellanna;EFFTgr

Matilda;0;kvk;ism;Matilda;NFET
Matilda;0;kvk;ism;Matildan;NFETgr
Matilda;0;kvk;ism;Matildu;ÞFET
Matilda;0;kvk;ism;Matilduna;ÞFETgr
Matilda;0;kvk;ism;Matildu;ÞGFET
Matilda;0;kvk;ism;Matildunni;ÞGFETgr
Matilda;0;kvk;ism;Matildu;EFET
Matilda;0;kvk;ism;Matildunnar;EFETgr
Matilda;0;kvk;ism;Matildur;NFFT
Matilda;0;kvk;ism;Matildurnar;NFFTgr
Matilda;0;kvk;ism;Matildur;ÞFFT
Matilda;0;kvk;ism;Matildurnar;ÞFFTgr
Matilda;0;kvk;ism;Matildum;ÞGFFT
Matilda;0;kvk;ism;Matildunum;ÞGFFTgr
Matilda;0;kvk;ism;Matilda;EFFT
Matilda;0;kvk;ism;Matildanna;EFFTgr

